Unnamed: 0,Unnamed: 1,Tên - đang làm,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,Nhật Anh,Bảo ,Hưng ,Vĩ
1,Đăng ký tài khoản,,False,False,True,False
2,Đăng nhập,,False,False,True,False
3,Đăng xuất,,False,False,True,False
4,"Quên mật khẩu, đặt lại mật khẩu",,False,False,True,False
5,Đổi mật khẩu,,False,False,True,False
6,Quản lý thông tin cá nhân (khách hàng),,False,False,True,False
7,Quản lý địa chỉ giao hàng,,False,False,True,False
8,Quản lý tài khoản người dùng (Admin),,False,False,True,False
9,Người dùng xem điểm tích lũy và hạng thành viên,,False,False,True,False
10,Xem danh sách sản phẩm theo danh mục,,False,False,True,False
11,Tìm kiếm sản phẩm,,False,False,True,False
12,Lọc sản phẩm,,False,False,True,False
13,Sắp xếp sản phẩm,,False,False,True,False
14,Xem chi tiết sản phẩm,,False,True,False,False
15,Thêm sản phẩm mới (nhân viên),,True,False,False,False
16,Cập nhật / Xóa sản phẩm (Staff),,True,False,False,False
16b,Quản lý danh mục sản phẩm (Staff),,True,False,False,False
16c,Quản lý bộ sưu tập (Staff),,True,False,False,False
16d,Tra cứu sản phẩm (Staff),,True,False,False,False
16e,Cập nhật tồn kho (Staff),,True,False,False,False
17,Thêm sản phẩm vào giỏ hàng,,False,True,False,False
18,Quản lý giỏ hàng,,False,True,False,False
19,Áp dụng voucher,,False,False,False,True
20,Đặt hàng và thanh toán,,False,False,False,True
21,Xem lịch sử đơn hàng,,False,True,False,False
22,Hủy đơn hàng,,False,True,False,False
23,Quản lý đơn hàng (Staff),Pull request rồi,False,False,False,True
24,Đánh giá sản phẩm,Bảo - đang làm,False,True,False,False
25,Xem đánh giá sản phẩm,Bảo - đang làm,False,True,False,False
26,Duyệt / Xóa đánh giá sản phẩm (Staff),,True,False,False,False
27,Tạo / Quản lý voucher khuyến mãi (Staff),,False,False,False,True
28,Lưu sản phẩm yêu thích (Wishlist),,False,False,True,False
29,Xem sản phẩm gợi ý,,False,False,True,False
30,Thống kế doanh thu (Admin),,True,False,False,False
31,"Thống kê sản phẩm bán chạy (Admin, nhân viên)",,True,False,False,False
32,Xem báo cáo tồn kho (nhân viên),Pull request,False,False,False,True
33,Báo cáo khách hàng thân thiết (Admin),,True,False,False,False
34,Quản lý banner / slider trang chủ (Staff),,False,False,True,False
